,Date,Region,Area,Cases,Case Rate,CF Outbreak
0,2020-03-30,Santa Monica Mountains,City of Agoura Hills,9,42.52,
1,2020-03-30,San Gabriel Valley,City of Alhambra,11,12.69,
2,2020-03-30,San Gabriel Valley,City of Arcadia,9,15.79,
3,2020-03-30,Southeast,City of Artesia,,,
4,2020-03-30,Harbor,City of Avalon,0,0.0,
5,2020-03-30,San Gabriel Valley,City of Azusa,3,6.06,
6,2020-03-30,San Gabriel Valley,City of Baldwin Park,0,0.0,
7,2020-03-30,Southeast,City of Bell,11,30.06,
8,2020-03-30,Southeast,City of Bell Gardens,2,4.67,
9,2020-03-30,Southeast,City of Bellflower,17,22.35,
10,2020-03-30,Westside,City of Beverly Hills,28,80.8,
11,2020-03-30,San Gabriel Valley,City of Bradbury,0,0.0,
12,2020-03-30,San Fernando Valley,City of Burbank,21,20.06,
13,2020-03-30,Santa Monica Mountains,City of Calabasas,11,45.49,
14,2020-03-30,Harbor,City of Carson,35,37.34,
15,2020-03-30,Southeast,City of Cerritos,5,10.15,
16,2020-03-30,Pomona Valley,City of Claremont,1,2.77,
17,2020-03-30,Southeast,City of Commerce,,,
18,2020-03-30,Southeast,City of Compton,13,12.88,
19,2020-03-30,San Gabriel Valley,City of Covina,8,16.28,
20,2020-03-30,Southeast,City of Cudahy,,,
21,2020-03-30,Westside,City of Culver City,14,34.7,
22,2020-03-30,San Gabriel Valley,City of Diamond Bar,3,5.25,
23,2020-03-30,Southeast,City of Downey,25,21.97,
24,2020-03-30,San Gabriel Valley,City of Duarte,,,
25,2020-03-30,San Gabriel Valley,City of El Monte,1,0.88,
26,2020-03-30,South Bay,City of El Segundo,,,
27,2020-03-30,South Bay,City of Gardena,7,11.54,
28,2020-03-30,Verdugos,City of Glendale,62,30.75,
29,2020-03-30,San Gabriel Valley,City of Glendora,6,11.49,
30,2020-03-30,Harbor,City of Hawaiian Gardens,,,
31,2020-03-30,South Bay,City of Hawthorne,13,14.81,
32,2020-03-30,South Bay,City of Hermosa Beach,7,35.51,
33,2020-03-30,Santa Monica Mountains,City of Hidden Hills,0,0.0,
34,2020-03-30,Southeast,City of Huntington Park,4,6.72,
35,2020-03-30,San Gabriel Valley,City of Industry,0,0.0,
36,2020-03-30,South Bay,City of Inglewood,26,22.34,
37,2020-03-30,San Gabriel Valley,City of Irwindale,0,0.0,
38,2020-03-30,Verdugos,City of La Canada Flintridge,8,39.04,
39,2020-03-30,San Gabriel Valley,City of La Habra Heights,0,0.0,
40,2020-03-30,Southeast,City of La Mirada,7,14.15,
41,2020-03-30,San Gabriel Valley,City of La Puente,3,7.43,
42,2020-03-30,Pomona Valley,City of La Verne,2,6.04,
43,2020-03-30,Harbor,City of Lakewood,13,16.63,
44,2020-03-30,Antelope Valley,City of Lancaster,27,17.24,
45,2020-03-30,South Bay,City of Lawndale,4,11.98,
46,2020-03-30,South Bay,City of Lomita,,,
47,2020-03-30,Harbor,City of Long Beach,0,0.0,
48,2020-03-30,Southeast,City of Lynwood,16,22.16,
49,2020-03-30,Santa Monica Mountains,City of Malibu,,,
50,2020-03-30,South Bay,City of Manhattan Beach,31,88.14,
51,2020-03-30,Southeast,City of Maywood,5,17.78,
52,2020-03-30,San Gabriel Valley,City of Monrovia,4,10.68,
53,2020-03-30,Southeast,City of Montebello,4,6.28,
54,2020-03-30,San Gabriel Valley,City of Monterey Park,5,8.18,
55,2020-03-30,Southeast,City of Norwalk,15,14.3,
56,2020-03-30,Antelope Valley,City of Palmdale,9,5.64,
57,2020-03-30,South Bay,City of Palos Verdes Estates,14,102.44,
58,2020-03-30,Southeast,City of Paramount,7,12.45,
59,2020-03-30,Verdugos,City of Pasadena,0,0.0,
60,2020-03-30,Southeast,City of Pico Rivera,6,9.37,
61,2020-03-30,Pomona Valley,City of Pomona,5,3.22,
62,2020-03-30,South Bay,City of Rancho Palos Verdes,10,23.31,
63,2020-03-30,South Bay,City of Redondo Beach,34,49.05,
64,2020-03-30,South Bay,City of Rolling Hills,0,0.0,
65,2020-03-30,South Bay,City of Rolling Hills Estates,,,
