Area,Cases,Case rate,Deaths,Death rate,CF Outbreak,People Vaccinated,Percent Vaccinated
City of Agoura Hills,946,4530.0,13,62.0,False,3406,19.5
City of Alhambra,6561,7565.0,172,198.0,False,11914,16.7
City of Arcadia,2547,4410.0,101,175.0,False,9674,19.5
City of Artesia,1943,11569.0,52,310.0,False,2521,18.2
City of Avalon,14,362.0,0,0.0,False,250,8.3
City of Azusa,6040,12070.0,97,194.0,False,4445,11.2
City of Baldwin Park,12663,16495.0,248,323.0,False,6790,11.7
City of Bell,6515,17932.0,91,250.0,False,1921,7.2
City of Bell Gardens,7977,18521.0,88,204.0,False,2311,7.5
City of Bellflower,10233,13164.0,159,205.0,False,6847,11.5
City of Beverly Hills,2404,6964.0,28,81.0,False,8652,29.2
City of Bradbury,34,3181.0,0,0.0,False,142,15.4
City of Burbank,8079,7538.0,194,181.0,False,12296,14.1
City of Calabasas,1111,4568.0,27,111.0,False,4841,24.2
City of Carson,8881,9463.0,200,213.0,False,13216,17.6
City of Cerritos,2834,5660.0,41,82.0,False,10733,24.6
City of Claremont,2164,5931.0,47,129.0,False,6680,21.1
City of Commerce,2318,17737.0,34,260.0,True,1124,11.5
City of Compton,16131,16147.0,187,187.0,False,4743,6.7
City of Covina,6172,12588.0,130,265.0,False,6138,15.9
City of Cudahy,4624,18992.0,48,197.0,False,1004,5.7
City of Culver City,2052,5147.0,77,193.0,False,6616,20.1
City of Diamond Bar,3058,5317.0,51,89.0,False,8593,17.7
City of Downey,16770,14677.0,233,204.0,False,11896,13.5
City of Duarte,2212,10047.0,75,341.0,False,3556,20.1
City of El Monte,16681,14225.0,360,307.0,False,9630,10.8
City of El Segundo,630,3753.0,5,30.0,False,2017,14.4
City of Gardena,5949,9703.0,145,237.0,False,7710,16.0
City of Glendale,18186,8807.0,506,245.0,False,26141,15.1
City of Glendora,4532,8589.0,143,271.0,False,8094,18.9
City of Hawaiian Gardens,2137,14561.0,7,48.0,False,810,7.6
City of Hawthorne,9804,11042.0,164,185.0,False,6347,9.6
City of Hermosa Beach,876,4453.0,10,51.0,False,2734,16.7
City of Hidden Hills,78,4127.0,2,106.0,False,378,23.2
City of Huntington Park,10820,18190.0,138,232.0,False,3330,7.6
City of Industry,165,37757.0,4,915.0,False,270,70.1
City of Inglewood,12867,11328.0,256,225.0,False,8236,9.5
City of Irwindale,246,16861.0,4,274.0,False,151,12.5
City of La Canada Flintridge,691,3339.0,15,72.0,False,4716,26.5
City of La Habra Heights,99,1815.0,1,18.0,False,475,9.9
City of La Mirada,4014,8093.0,85,171.0,False,6275,15.4
City of La Puente,6439,15822.0,89,219.0,False,3130,10.1
City of La Verne,2687,8073.0,42,126.0,False,5411,19.4
City of Lakewood,6803,8465.0,63,78.0,False,10070,15.6
